White Skylar,Assignment,0.67,0.71,0.73,0.67,0.69,0.47,0.32,0.51,Test,0.79,0.11,0.82,0.3,0.23,Lab,0.73,0.05,0.23,0.25,0.11,0.54,0.34,0.67,0.92
Link Ann-Marie,Assignment,0.32,0.86,0.23,0.21,0.6,0.22,0.75,0.69,Test,0.2,0.9,0.51,0.22,0.57,Lab,0.65,0.94,0.03,0.8,0.58,0.31,0.96,0.69,0.75
Thomas Marcus,Assignment,0.57,0.43,0.2,0.48,0.9,0.12,0.36,0.36,Test,0.06,0.99,0.24,0.5,0.79,Lab,0.62,0.77,0.59,0.17,0.6,0.67,0.33,0.28,0.2
Chaco Roberta,Assignment,0.76,0.04,0.58,0.25,0.5,0.11,0.23,0.77,Test,0.46,0.17,0.51,0.63,0.96,Lab,0.5,0.54,0.13,0.56,0.55,0.74,0.43,0.16,0.88
Kotter Gine,Assignment,0.73,0.34,0.18,0.62,0.73,0.3,0.38,0.51,Test,0.3,0.2,0.51,0.55,0.75,Lab,0.95,0.07,0.3,0.04,0.5,0.04,0.82,0.57,0.31
DeMarco Suzi,Assignment,0.45,0.94,0.52,0.34,0.86,0.31,0.59,0.35,Test,0.91,0.07,0.92,0.97,0.67,Lab,0.63,0.24,0.5,0.47,0.98,0.02,0.54,0.05,0.74
Bell Pamela,Assignment,0.05,0.5,0.15,0.62,0.59,0.94,0.37,0.55,Test,0.4,0.39,0.3,0.28,0.71,Lab,0.94,0.88,0.41,0.16,0.71,0.51,0.75,0.86,0.01
Munch Shelly,Assignment,0.54,0.68,0.2,1,0.84,0.09,0.81,0.37,Test,0.02,0.44,0.87,0.47,0.3,Lab,0.39,0.89,0.43,0.72,0.47,0.49,0.76,0.27,0.6
Kirkendall DeAnna,Assignment,0.25,0.04,0.35,0.59,0.59,0.86,0.72,0.96,Test,0.84,0.09,0.21,0.25,0.9,Lab,0.65,0.97,0.7,0.68,0.47,0.27,0.27,0.32,0.85
Ward Erin,Assignment,0.61,0.96,0.71,0.73,0.36,0.46,0.47,0.95,Test,0.73,0.56,0.11,0.64,0.41,Lab,0.19,0.4,0.68,0.54,0.88,0.46,0.39,0.47,0.18
Steel Rose,Assignment,0.72,0.96,0.84,0.6,0.42,0.99,0.28,0.44,Test,0.61,0.84,0.35,0.53,0.47,Lab,0.44,0.03,0.73,0.04,0.7,0.19,0.05,0.15,0.45
Fellows Jen,Assignment,0.57,0.84,0.61,0.09,0.99,0.95,0.36,0.9,Test,0.45,0.65,0.7,0.35,0.52,Lab,0.47,0.7,0.51,0.37,0.22,0.35,0.22,0.57,0.06
Starke Antonio,Assignment,0.99,0.24,0.65,0.04,0.34,0.57,0.04,0.74,Test,0.73,0.23,0.31,0.5,0.98,Lab,0.99,0.53,0.28,0.05,0.85,0.84,0.6,0.41,0.28
Poscdnakov Andrew,Assignment,0.91,0.33,0.46,0.95,0.02,0.85,0.42,0.18,Test,0.96,0.73,0.32,0.54,0.53,Lab,0.53,0.3,0.53,0.59,0.91,0.14,0.52,0.87,0.85
Zukowski David,Assignment,0.57,0.2,0.8,0.94,0.44,0.76,0.7,0.66,Test,0.55,0.72,0.65,0.01,0.65,Lab,0.78,0.62,0.6,0.46,0.44,0.44,0.31,0.44,0.92
Walsh Abdul,Assignment,0.75,0.64,0.77,0.55,0.98,0.48,0.95,0.86,Test,0.65,0.39,0.26,0.19,0.61,Lab,0.61,0.6,0.2,0.56,0.05,0.58,0.33,0.89,0.31
BenCastro Alicia,Assignment,0.22,0.92,0.01,0.38,0.2,0.9,0.63,0.06,Test,0.57,0.43,0.77,0.88,0.36,Lab,0.73,0.99,0.29,0.01,0.36,0.48,0.57,0.6,0.11
Ranker Bonnie,Assignment,0.14,0.56,0.05,0.64,0.87,0.79,0.72,0.39,Test,0.71,0.26,0.47,0.53,0.84,Lab,0.76,0.26,0.29,0.17,0,0.54,1,0.06,0.52
Steel Danielle,Assignment,0.09,0.32,0.85,0.49,0.77,0.4,0.97,0.29,Test,0.77,0.31,0.16,0.42,0.16,Lab,0.87,0.92,0.02,0.54,1,0.33,0.79,0.57,0.91
Baelu Kathy,Assignment,0.72,0.22,0.67,1,0.99,0.3,0.08,0.18,Test,0.45,0.44,0.4,0.27,0.53,Lab,0.03,0.85,0.91,0.92,0.15,0.8,0.24,0.07,0.48
Kast Jennifer,Assignment,0.23,0.93,0.06,0.7,0.33,0.01,0.71,0.57,Test,0.26,0.03,0.99,0.31,0.91,Lab,0.03,0.61,0.9,0.5,0.81,0.45,0.09,0.97,0.79
Brotter Dawn,Assignment,0.86,0.91,0.6,0.2,0.45,0.88,0.53,0.18,Test,0.62,0.23,0.52,0.98,0.82,Lab,0.63,0.39,0.06,0.46,0.4,0.76,0.11,0.22,0.77
Boyd Mindy,Assignment,0.12,0.99,0.32,0.55,0.66,0.88,0.17,0.63,Test,0.28,0.36,0.75,0.53,0.45,Lab,0.54,0.9,0.47,0.55,0.78,0.1,0.91,0.68,0.37
Grotto Allie,Assignment,0.18,0.93,0.44,0.54,0.34,0.77,0.5,0.64,Test,0.12,0.05,0.84,0.37,0.64,Lab,0.66,0.93,0.95,0.21,0.1,0.93,0.7,0.9,0.8
Jensen Dina,Assignment,0.59,0.64,0.29,0.23,0.45,0.36,0.93,1,Test,0.79,0.77,0.19,0.79,0.87,Lab,0.82,0.41,0.97,0.73,0.96,0.12,0.54,0.46,0.22
Jones Kelli-Anne,Assignment,0.95,0.61,0.8,0.68,0.31,0.89,0.09,0.65,Test,0.84,0.79,0.87,0.21,0.51,Lab,0.93,0.98,0.61,0.7,0.03,0.15,0.01,0.27,0.85
Kesselman Allison,Assignment,0.98,0.03,0.65,0.95,0.34,0.22,0.59,0.32,Test,0.11,0.97,0.2,0.45,0.1,Lab,0.41,0.41,0.67,0.24,0.76,0.99,0.18,0.94,0.92
Cairns Melbourne,Assignment,0.9,0.05,0.41,0.2,0.3,0.33,0.94,0.31,Test,0.27,0.33,0.91,0.87,0.49,Lab,0.59,0.13,0,0.79,0.81,0.46,0.38,0.96,0
Dander Krysty,Assignment,0.18,0.14,0.35,0.7,0.64,0.56,0.07,0.79,Test,0.27,0.85,0.4,0.24,0.22,Lab,0.29,0.63,0.8,0.28,0.66,0.61,0.08,0.93,0.56
McCann Rhonda,Assignment,0.64,0.07,0.26,0.43,0.42,0.84,0.22,0.03,Test,0.92,0.19,0.18,0.19,0.59,Lab,0.38,0.72,0.84,0.73,0.01,0.45,0.73,0.93,0.28
Monn Heidi,Assignment,0.74,0.72,0.77,0.49,0.88,0.43,0.86,0.22,Test,0.37,0.95,0.16,0.59,0.38,Lab,0.02,0.03,0.7,0.5,0.57,0.79,0.95,0.07,0.49
Pfiefer Amy,Assignment,0.31,0.21,0.68,0.21,0.48,0.79,0.68,0.15,Test,0.77,0.59,0.09,0.91,0.43,Lab,0.22,0.61,0.49,0.53,0.12,0.9,0.68,0.13,0.26
Pearson Heather,Assignment,0.93,0.56,0.1,0.67,0.31,0.28,0.48,0.72,Test,0.22,0.6,0.66,0.81,0.78,Lab,0.76,0.89,0.2,0.33,0.1,0.16,0.82,0.02,0.6
Talon Kaylie,Assignment,0.54,0.8,0.72,0.15,0.16,0.92,0.7,0.39,Test,0.48,0.72,0.92,0.78,0.01,Lab,0.31,0.66,0.72,0.97,0.2,0.83,0.35,0.12,0.49
Muniz Yelitza,Assignment,0.6,0.13,0.99,0.42,0.97,0.26,0.08,0.41,Test,0.48,0.34,0.89,0.38,0.12,Lab,0.06,0.31,0.1,0.27,0.55,0.63,0.79,0.85,0.5
Sanderman Kristi,Assignment,0.66,0.23,0.93,0.49,0.49,0.03,0.46,0.89,Test,0.63,0.21,0.32,1,0,Lab,0.7,0.83,0.74,0.13,0.56,0.93,0.13,0.71,0.49
Singher Chelsea,Assignment,0.55,0.86,1,0.94,0.3,0.87,0.76,0.88,Test,0.95,0.84,0.34,0.95,0.51,Lab,0.39,0.24,0.43,0.01,0.94,0.94,0.59,0.43,0.21
Burr Emily,Assignment,0.97,0.83,0.71,0.56,0.98,0.85,0.28,0.22,Test,0.88,0.22,0.85,0.82,0.27,Lab,0.19,0.67,0.53,0.58,0.2,0.57,0.6,0.34,0.26
Punta Teresa,Assignment,0.76,0.5,0.18,0.39,0.29,0.49,0.52,0.43,Test,0.2,0.29,0.38,0.97,0.97,Lab,0.88,0.26,0.84,0.21,0.31,0.25,0.38,0.96,0.55
Anduram Sofia,Assignment,0.52,0.46,0.26,1,0.12,0.6,0.84,0.49,Test,0.48,0.54,1,0.46,0.82,Lab,0.06,0.25,0.42,0.59,0.83,0.31,0.57,0.39,0.82
Matisyahu Ben,Assignment,0.6,0.3,0.09,0.25,0.12,0.45,0.48,0.37,Test,0.13,0.13,0.12,0.64,0.47,Lab,0.7,0.23,0.39,0.27,0.67,0.45,0.08,0.7,0.77
Tankian Serj,Assignment,0.27,0.3,0.23,0.11,0.49,0.31,0.88,0.08,Test,0.22,0.39,0.32,0.73,0.54,Lab,0.07,0.15,0.1,0.31,0.81,0.86,0.04,0.21,0.16
Martin Apple,Assignment,0.02,0.87,0.06,0.37,0.81,0.58,0.34,0.88,Test,0.13,0.74,0.58,0.3,0.25,Lab,0.84,0.1,0.83,0.17,0.19,0.1,0.91,0.2,0.94
Bellamy Matt,Assignment,0.16,0.98,0.06,0.96,0.69,0.07,0.48,0.54,Test,0.22,0.63,0.9,0.61,0.45,Lab,0.18,0.97,0.12,0.75,0.93,1,0.72,0.65,0.15
