Tyson Adelman,Assignment,0.31,0.77,0.29,0.39,0.27,Test,0.48,0.59,0.66,Lab,0.18,0.88,0.8,0.48,0.13
Bruce Wayne,Assignment,0.34,0.11,0.99,0.02,0.11,Test,0.03,0.46,0.44,Lab,0.18,0.69,0.65,0.08,0.68
Chris Reeves,Assignment,0.9,0.31,0.07,0.18,0.36,Test,0.31,0.84,0.19,Lab,0.96,1,0.36,0.36,0.62
Thomas Hands,Assignment,0.61,0,0.91,0.8,0.27,Test,0.21,0.48,0.87,Lab,0.83,0.48,0.72,0.52,0.71
James Leher,Assignment,0.35,0.33,0.59,0.05,0.42,Test,0.44,0.69,0.39,Lab,0.59,0.64,0.14,0.14,0.43
Aldridge Ames,Assignment,0.56,0.84,0.68,0.37,0.14,Test,0.46,0.78,0.03,Lab,0.3,0.84,0.8,0.8,0.16
Juan Garza,Assignment,0.59,0.38,0.51,0.72,0.39,Test,0.28,0.85,0.64,Lab,0.11,0.44,0.03,0.33,0.29
Michael Buble,Assignment,0.22,0.24,0.95,0.16,0.09,Test,0.04,0.65,0.12,Lab,0.11,0.67,0.55,0.75,0.36
Frank Sinatra,Assignment,0.02,0.9,0.83,0.38,0.2,Test,0.45,0.54,0.51,Lab,0.99,0.05,0.86,0.13,0.28
Antonio Benido,Assignment,0.14,0.83,0.78,0.48,0.2,Test,0.43,0.65,0.31,Lab,0.43,0.08,0.46,1,0.1
Louis Prima,Assignment,0.81,0.4,0.03,0.96,0.7,Test,0.89,0.48,0.9,Lab,0.13,0.3,0.9,0.67,0.78
Jerry Seinfeld,Assignment,0.82,0.95,0.38,0.62,0.49,Test,0.61,0.95,0.42,Lab,0.25,0.74,0.65,0.69,0.96
Jayce Nicoll,Assignment,0.06,0.63,0.07,0.02,0.3,Test,0.01,0.31,0.08,Lab,0.03,0.12,0.56,0.09,0.38
Phil Robertson,Assignment,0.39,0.75,0.79,0.64,0.54,Test,0.05,0.77,0.05,Lab,0.22,0.4,0.64,0.21,0.01
Mae Peabody,Assignment,0.81,0.04,0.33,0.19,0.35,Test,0.86,0.95,0.21,Lab,0.68,0.48,0.33,0.61,0.94
Salman Rushdie,Assignment,0.33,0.43,0.72,0.85,0.72,Test,0.32,0.02,0.34,Lab,0.16,0.81,0.27,0.57,0.22
Eli Singh,Assignment,0.94,0.75,0.81,0.07,0,Test,0.22,0.54,0.39,Lab,0.7,0.23,0.73,0.22,0.63
Joseph DiSimone,Assignment,0.03,0.1,0.51,0.85,0.72,Test,0.7,0.5,0.93,Lab,0.68,0.72,0.84,0.07,0.62
Allen Weitz,Assignment,0.95,0.31,0.29,0.62,0.04,Test,0.52,0.14,0.56,Lab,0.11,0.2,0.62,0.29,0.32
Tammy Velazquez,Assignment,0.07,0.15,0.56,0.82,0.38,Test,0.72,0.21,0.83,Lab,0.82,0.99,1,0.71,0.18
Torrey Pine,Assignment,0.51,0.11,0.64,0.47,0.7,Test,0.39,0.19,0.09,Lab,0.33,0.63,0.74,0.72,0.19
Andrea Caruso,Assignment,0.06,0.74,0.91,0.9,0.18,Test,0.11,0.42,0.56,Lab,0.51,0.01,0.93,0.82,0.67
Charles Xavier,Assignment,0.41,0.6,0.16,0.64,0.73,Test,0.28,0.31,0.98,Lab,0.6,0.7,0.05,0.2,0.38
Otto Mann,Assignment,0.65,0.92,0.08,0.49,0.84,Test,0.99,0.86,0.26,Lab,0.32,0.84,0.62,0.02,0.28
Desi Arnaz,Assignment,0.4,0.24,0.21,0.75,0.36,Test,0.81,0.21,0.04,Lab,0.62,0.92,0.97,0.47,0.66
Aiden Hein,Assignment,0.34,0.96,0.02,0.08,0.86,Test,0.57,0.12,0.63,Lab,0.4,0.8,0.25,0.24,1
Elaine Wynn,Assignment,0.4,0.38,0.17,0.61,0.34,Test,0.19,0.08,0.79,Lab,0.45,0.71,0.56,0.2,0.97
Diana Stefan,Assignment,0.63,0.85,0.94,0.53,0.08,Test,0.06,0.88,0.25,Lab,0.83,0.17,0.22,0.13,0.89
Jean Grey,Assignment,0.14,0.26,0.45,0.59,1,Test,0.37,0.78,0.27,Lab,0.72,0.72,0.74,0.05,0.03
Scott Summers,Assignment,0.35,0.64,0.14,0.91,0.76,Test,0.33,0.29,0.92,Lab,0.57,0.73,0.55,0.41,0.24
Logan Wolf,Assignment,0.18,0.39,0.61,0.5,0.43,Test,0.35,0.5,0.23,Lab,0.19,0.08,0.94,0.65,0.75
Katie Callahan,Assignment,0.09,0,0.02,0.32,0.65,Test,0.4,0.58,0.12,Lab,0.37,0.91,0.8,0.67,0.8
Sandra Davis,Assignment,0.78,0.02,0.87,0.12,1,Test,0.53,0.91,0.02,Lab,0.62,0.25,0.42,0.15,0.5
Anna Kerwin,Assignment,0.99,0.04,0.46,0.78,0.3,Test,0.66,0.51,0.71,Lab,0.02,0.81,0.82,0.37,0.31
Owen Lees,Assignment,0.28,0.75,0.23,0.35,0.04,Test,0.1,0.25,0.64,Lab,0.86,0.33,0.85,0.65,0.96
Louann Welsch,Assignment,0.02,0.85,0.3,0.91,0.26,Test,0.99,0.51,0.86,Lab,0.85,0.12,0.7,0.86,0.59
Skylar White,Assignment,0.67,0.71,0.73,0.67,0.69,Test,0.79,0.11,0.82,Lab,0.73,0.05,0.23,0.25,0.11
Ann-Marie Link,Assignment,0.32,0.86,0.23,0.21,0.6,Test,0.2,0.9,0.51,Lab,0.65,0.94,0.03,0.8,0.58
Marcus Thomas,Assignment,0.57,0.43,0.2,0.48,0.9,Test,0.06,0.99,0.24,Lab,0.62,0.77,0.59,0.17,0.6
Roberta Chaco,Assignment,0.76,0.04,0.58,0.25,0.5,Test,0.46,0.17,0.51,Lab,0.5,0.54,0.13,0.56,0.55
Gine Kotter,Assignment,0.73,0.34,0.18,0.62,0.73,Test,0.3,0.2,0.51,Lab,0.95,0.07,0.3,0.04,0.5
Suzi DeMarco,Assignment,0.45,0.94,0.52,0.34,0.86,Test,0.91,0.07,0.92,Lab,0.63,0.24,0.5,0.47,0.98
Pamela Bell,Assignment,0.05,0.5,0.15,0.62,0.59,Test,0.4,0.39,0.3,Lab,0.94,0.88,0.41,0.16,0.71
Shelly Munch,Assignment,0.54,0.68,0.2,1,0.84,Test,0.02,0.44,0.87,Lab,0.39,0.89,0.43,0.72,0.47
DeAnna Kirkendall,Assignment,0.25,0.04,0.35,0.59,0.59,Test,0.84,0.09,0.21,Lab,0.65,0.97,0.7,0.68,0.47
Erin Ward,Assignment,0.61,0.96,0.71,0.73,0.36,Test,0.73,0.56,0.11,Lab,0.19,0.4,0.68,0.54,0.88
Rose Steel,Assignment,0.72,0.96,0.84,0.6,0.42,Test,0.61,0.84,0.35,Lab,0.44,0.03,0.73,0.04,0.7
Jen Fellows,Assignment,0.57,0.84,0.61,0.09,0.99,Test,0.45,0.65,0.7,Lab,0.47,0.7,0.51,0.37,0.22
Antonio Starke,Assignment,0.99,0.24,0.65,0.04,0.34,Test,0.73,0.23,0.31,Lab,0.99,0.53,0.28,0.05,0.85
Andrew Poscdnakov,Assignment,0.91,0.33,0.46,0.95,0.02,Test,0.96,0.73,0.32,Lab,0.53,0.3,0.53,0.59,0.91
David Zukowski,Assignment,0.57,0.2,0.8,0.94,0.44,Test,0.55,0.72,0.65,Lab,0.78,0.62,0.6,0.46,0.44
Abdul Walsh,Assignment,0.75,0.64,0.77,0.55,0.98,Test,0.65,0.39,0.26,Lab,0.61,0.6,0.2,0.56,0.05
Alicia BenCastro,Assignment,0.22,0.92,0.01,0.38,0.2,Test,0.57,0.43,0.77,Lab,0.73,0.99,0.29,0.01,0.36
Bonnie Ranker,Assignment,0.14,0.56,0.05,0.64,0.87,Test,0.71,0.26,0.47,Lab,0.76,0.26,0.29,0.17,0
Danielle Steel,Assignment,0.09,0.32,0.85,0.49,0.77,Test,0.77,0.31,0.16,Lab,0.87,0.92,0.02,0.54,1
Kathy Baelu,Assignment,0.72,0.22,0.67,1,0.99,Test,0.45,0.44,0.4,Lab,0.03,0.85,0.91,0.92,0.15
Jennifer Kast,Assignment,0.23,0.93,0.06,0.7,0.33,Test,0.26,0.03,0.99,Lab,0.03,0.61,0.9,0.5,0.81
Dawn Brotter,Assignment,0.86,0.91,0.6,0.2,0.45,Test,0.62,0.23,0.52,Lab,0.63,0.39,0.06,0.46,0.4
Mindy Boyd,Assignment,0.12,0.99,0.32,0.55,0.66,Test,0.28,0.36,0.75,Lab,0.54,0.9,0.47,0.55,0.78
Allie Grotto,Assignment,0.18,0.93,0.44,0.54,0.34,Test,0.12,0.05,0.84,Lab,0.66,0.93,0.95,0.21,0.1
Dina Jensen,Assignment,0.59,0.64,0.29,0.23,0.45,Test,0.79,0.77,0.19,Lab,0.82,0.41,0.97,0.73,0.96
Kelli-Anne Jones,Assignment,0.95,0.61,0.8,0.68,0.31,Test,0.84,0.79,0.87,Lab,0.93,0.98,0.61,0.7,0.03
Allison Kesselman,Assignment,0.98,0.03,0.65,0.95,0.34,Test,0.11,0.97,0.2,Lab,0.41,0.41,0.67,0.24,0.76
Melbourne Cairns,Assignment,0.9,0.05,0.41,0.2,0.3,Test,0.27,0.33,0.91,Lab,0.59,0.13,0,0.79,0.81
Krysty Dander,Assignment,0.18,0.14,0.35,0.7,0.64,Test,0.27,0.85,0.4,Lab,0.29,0.63,0.8,0.28,0.66
Rhonda McCann,Assignment,0.64,0.07,0.26,0.43,0.42,Test,0.92,0.19,0.18,Lab,0.38,0.72,0.84,0.73,0.01
Heidi Monn,Assignment,0.74,0.72,0.77,0.49,0.88,Test,0.37,0.95,0.16,Lab,0.02,0.03,0.7,0.5,0.57
Amy Pfiefer,Assignment,0.31,0.21,0.68,0.21,0.48,Test,0.77,0.59,0.09,Lab,0.22,0.61,0.49,0.53,0.12
Heather Pearson,Assignment,0.93,0.56,0.1,0.67,0.31,Test,0.22,0.6,0.66,Lab,0.76,0.89,0.2,0.33,0.1
Kaylie Talon,Assignment,0.54,0.8,0.72,0.15,0.16,Test,0.48,0.72,0.92,Lab,0.31,0.66,0.72,0.97,0.2
Yelitza Muniz,Assignment,0.6,0.13,0.99,0.42,0.97,Test,0.48,0.34,0.89,Lab,0.06,0.31,0.1,0.27,0.55
Kristi Sanderman,Assignment,0.66,0.23,0.93,0.49,0.49,Test,0.63,0.21,0.32,Lab,0.7,0.83,0.74,0.13,0.56
Chelsea Singher,Assignment,0.55,0.86,1,0.94,0.3,Test,0.95,0.84,0.34,Lab,0.39,0.24,0.43,0.01,0.94
Emily Burr,Assignment,0.97,0.83,0.71,0.56,0.98,Test,0.88,0.22,0.85,Lab,0.19,0.67,0.53,0.58,0.2
Teresa Punta,Assignment,0.76,0.5,0.18,0.39,0.29,Test,0.2,0.29,0.38,Lab,0.88,0.26,0.84,0.21,0.31
Sofia Anduram,Assignment,0.52,0.46,0.26,1,0.12,Test,0.48,0.54,1,Lab,0.06,0.25,0.42,0.59,0.83
Ben Matisyahu,Assignment,0.6,0.3,0.09,0.25,0.12,Test,0.13,0.13,0.12,Lab,0.7,0.23,0.39,0.27,0.67
Serj Tankian,Assignment,0.27,0.3,0.23,0.11,0.49,Test,0.22,0.39,0.32,Lab,0.07,0.15,0.1,0.31,0.81
Apple Martin,Assignment,0.02,0.87,0.06,0.37,0.81,Test,0.13,0.74,0.58,Lab,0.84,0.1,0.83,0.17,0.19
Matt Bellamy,Assignment,0.16,0.98,0.06,0.96,0.69,Test,0.22,0.63,0.9,Lab,0.18,0.97,0.12,0.75,0.93
